ENTIDAD_RES,FECHA_INGRESO,confirmados
2,2020-05-01,92
2,2020-05-02,78
2,2020-05-03,91
2,2020-05-04,144
2,2020-05-05,141
2,2020-05-06,118
2,2020-05-07,123
2,2020-05-08,142
2,2020-05-09,75
2,2020-05-10,70
2,2020-05-11,130
2,2020-05-12,127
2,2020-05-13,129
2,2020-05-14,114
2,2020-05-15,147
2,2020-05-16,73
2,2020-05-17,72
2,2020-05-18,216
2,2020-05-19,156
2,2020-05-20,170
2,2020-05-21,232
2,2020-05-22,210
2,2020-05-23,66
2,2020-05-24,82
2,2020-05-25,137
2,2020-05-26,136
2,2020-05-27,130
2,2020-05-28,118
2,2020-05-29,116
2,2020-05-30,84
2,2020-05-31,73
2,2020-06-01,153
2,2020-06-02,172
2,2020-06-03,163
2,2020-06-04,152
2,2020-06-05,152
2,2020-06-06,106
2,2020-06-07,69
2,2020-06-08,172
2,2020-06-09,175
2,2020-06-10,149
2,2020-06-11,149
2,2020-06-12,115
2,2020-06-13,87
2,2020-06-14,94
2,2020-06-15,181
2,2020-06-16,190
2,2020-06-17,151
2,2020-06-18,146
2,2020-06-19,175
2,2020-06-20,88
2,2020-06-21,61
2,2020-06-22,208
2,2020-06-23,195
2,2020-06-24,180
2,2020-06-25,175
2,2020-06-26,174
2,2020-06-27,111
2,2020-06-28,63
2,2020-06-29,207
2,2020-06-30,201
2,2020-07-01,185
2,2020-07-02,193
2,2020-07-03,166
2,2020-07-04,73
2,2020-07-05,97
2,2020-07-06,216
2,2020-07-07,213
2,2020-07-08,213
2,2020-07-09,167
2,2020-07-10,132
2,2020-07-11,62
2,2020-07-12,79
2,2020-07-13,169
2,2020-07-14,177
2,2020-07-15,184
2,2020-07-16,161
2,2020-07-17,145
2,2020-07-18,87
2,2020-07-19,94
2,2020-07-20,162
2,2020-07-21,143
2,2020-07-22,143
2,2020-07-23,125
2,2020-07-24,138
2,2020-07-25,80
2,2020-07-26,64
2,2020-07-27,151
2,2020-07-28,134
2,2020-07-29,124
2,2020-07-30,133
2,2020-07-31,156
2,2020-08-01,68
2,2020-08-02,64
2,2020-08-03,150
2,2020-08-04,150
2,2020-08-05,119
2,2020-08-06,114
2,2020-08-07,114
2,2020-08-08,64
2,2020-08-09,47
2,2020-08-10,170
2,2020-08-11,121
2,2020-08-12,112
2,2020-08-13,111
2,2020-08-14,101
2,2020-08-15,40
2,2020-08-16,50
2,2020-08-17,169
2,2020-08-18,126
2,2020-08-19,123
2,2020-08-20,136
2,2020-08-21,99
2,2020-08-22,46
2,2020-08-23,46
2,2020-08-24,150
2,2020-08-25,109
2,2020-08-26,94
2,2020-08-27,114
2,2020-08-28,110
2,2020-08-29,40
2,2020-08-30,39
2,2020-08-31,194
2,2020-09-01,185
2,2020-09-02,158
2,2020-09-03,164
2,2020-09-04,125
2,2020-09-05,64
2,2020-09-06,36
2,2020-09-07,163
2,2020-09-08,125
2,2020-09-09,116
2,2020-09-10,109
2,2020-09-11,111
2,2020-09-12,38
2,2020-09-13,33
2,2020-09-14,116
2,2020-09-15,52
2,2020-09-16,33
2,2020-09-17,124
2,2020-09-18,103
2,2020-09-19,40
2,2020-09-20,37
2,2020-09-21,98
2,2020-09-22,103
2,2020-09-23,107
2,2020-09-24,79
2,2020-09-25,81
2,2020-09-26,27
2,2020-09-27,29
2,2020-09-28,111
2,2020-09-29,96
2,2020-09-30,130
2,2020-10-01,108
2,2020-10-02,85
2,2020-10-03,48
2,2020-10-04,31
2,2020-10-05,141
2,2020-10-06,137
2,2020-10-07,131
2,2020-10-08,91
2,2020-10-09,75
2,2020-10-10,44
2,2020-10-11,37
2,2020-10-12,132
2,2020-10-13,135
2,2020-10-14,135
2,2020-10-15,124
2,2020-10-16,89
2,2020-10-17,50
2,2020-10-18,51
2,2020-10-19,155
2,2020-10-20,143
2,2020-10-21,146
2,2020-10-22,135
2,2020-10-23,149
2,2020-10-24,46
2,2020-10-25,41
2,2020-10-26,162
2,2020-10-27,125
2,2020-10-28,118
2,2020-10-29,88
2,2020-10-30,93
2,2020-10-31,50
2,2020-11-01,46
2,2020-11-02,148
2,2020-11-03,130
2,2020-11-04,145
2,2020-11-05,99
2,2020-11-06,116
2,2020-11-07,63
2,2020-11-08,50
2,2020-11-09,153
2,2020-11-10,105
2,2020-11-11,126
2,2020-11-12,95
2,2020-11-13,97
2,2020-11-14,69
2,2020-11-15,61
2,2020-11-16,75
2,2020-11-17,194
2,2020-11-18,233
2,2020-11-19,219
2,2020-11-20,211
2,2020-11-21,129
2,2020-11-22,105
2,2020-11-23,345
2,2020-11-24,318
2,2020-11-25,325
2,2020-11-26,312
2,2020-11-27,269
2,2020-11-28,121
2,2020-11-29,112
2,2020-11-30,334
2,2020-12-01,380
2,2020-12-02,299
2,2020-12-03,288
2,2020-12-04,268
2,2020-12-05,163
2,2020-12-06,113
2,2020-12-07,352
2,2020-12-08,377
2,2020-12-09,330
2,2020-12-10,320
2,2020-12-11,311
2,2020-12-12,152
2,2020-12-13,135
2,2020-12-14,350
2,2020-12-15,342
2,2020-12-16,328
2,2020-12-17,310
2,2020-12-18,222
2,2020-12-19,110
2,2020-12-20,138
2,2020-12-21,388
2,2020-12-22,316
2,2020-12-23,250
2,2020-12-24,171
2,2020-12-25,91
2,2020-12-26,140
2,2020-12-27,130
2,2020-12-28,369
2,2020-12-29,319
2,2020-12-30,235
2,2020-12-31,188
2,2021-01-01,115
2,2021-01-02,121
2,2021-01-03,131
2,2021-01-04,368
2,2021-01-05,390
2,2021-01-06,335
2,2021-01-07,344
2,2021-01-08,295
2,2021-01-09,117
2,2021-01-10,101
2,2021-01-11,368
2,2021-01-12,299
2,2021-01-13,310
2,2021-01-14,272
2,2021-01-15,252
2,2021-01-16,89
2,2021-01-17,75
2,2021-01-18,318
2,2021-01-19,218
2,2021-01-20,213
2,2021-01-21,220
2,2021-01-22,209
2,2021-01-23,78
2,2021-01-24,64
2,2021-01-25,197
2,2021-01-26,240
2,2021-01-27,175
2,2021-01-28,184
2,2021-01-29,131
2,2021-01-30,55
2,2021-01-31,50
2,2021-02-01,62
2,2021-02-02,169
2,2021-02-03,142
2,2021-02-04,135
2,2021-02-05,106
2,2021-02-06,41
2,2021-02-07,45
2,2021-02-08,147
2,2021-02-09,98
2,2021-02-10,95
2,2021-02-11,106
2,2021-02-12,86
2,2021-02-13,30
2,2021-02-14,29
2,2021-02-15,107
2,2021-02-16,71
2,2021-02-17,49
2,2021-02-18,55
2,2021-02-19,51
2,2021-02-20,29
2,2021-02-21,25
2,2021-02-22,85
2,2021-02-23,61
2,2021-02-24,64
2,2021-02-25,52
2,2021-02-26,52
2,2021-02-27,18
2,2021-02-28,12
2,2021-03-01,43
3,2020-03-17,1
3,2020-03-18,1
3,2020-03-20,1
3,2020-03-21,1
3,2020-03-23,4
3,2020-03-24,2
3,2020-03-26,2
3,2020-03-27,4
3,2020-03-28,4
3,2020-03-29,1
3,2020-03-30,14
3,2020-03-31,7
3,2020-04-01,5
3,2020-04-02,11
3,2020-04-03,16
3,2020-04-04,5
3,2020-04-05,5
3,2020-04-06,23
3,2020-04-07,24
3,2020-04-08,24
3,2020-04-09,22
3,2020-04-10,9
3,2020-04-11,7
3,2020-04-12,5
3,2020-04-13,15
3,2020-04-14,17
3,2020-04-15,5
3,2020-04-16,9
3,2020-04-17,6
3,2020-04-18,3
3,2020-04-19,8
3,2020-04-20,7
3,2020-04-21,12
3,2020-04-22,5
3,2020-04-23,9
3,2020-04-24,13
3,2020-04-25,5
3,2020-04-26,7
3,2020-04-27,10
3,2020-04-28,4
3,2020-04-29,4
3,2020-04-30,14
3,2020-05-01,2
3,2020-05-02,9
3,2020-05-03,6
3,2020-05-04,7
3,2020-05-05,12
3,2020-05-06,10
3,2020-05-07,11
3,2020-05-08,9
3,2020-05-09,6
3,2020-05-10,10
3,2020-05-11,7
3,2020-05-12,16
3,2020-05-13,13
3,2020-05-14,8
3,2020-05-15,5
3,2020-05-16,11
3,2020-05-17,3
3,2020-05-18,11
3,2020-05-19,15
3,2020-05-20,17
3,2020-05-21,8
3,2020-05-22,15
3,2020-05-23,7
3,2020-05-24,9
3,2020-05-25,17
3,2020-05-26,14
3,2020-05-27,21
3,2020-05-28,18
3,2020-05-29,22
3,2020-05-30,13
3,2020-05-31,8
3,2020-06-01,36
3,2020-06-02,17
3,2020-06-03,16
3,2020-06-04,22
3,2020-06-05,22
3,2020-06-06,14
3,2020-06-07,20
3,2020-06-08,53
3,2020-06-09,38
3,2020-06-10,47
3,2020-06-11,29
3,2020-06-12,25
3,2020-06-13,22
3,2020-06-14,21
3,2020-06-15,51
3,2020-06-16,30
3,2020-06-17,46
3,2020-06-18,48
3,2020-06-19,19
3,2020-06-20,34
3,2020-06-21,18
3,2020-06-22,31
3,2020-06-23,46
3,2020-06-24,53
3,2020-06-25,54
3,2020-06-26,41
3,2020-06-27,45
3,2020-06-28,34
3,2020-06-29,66
3,2020-06-30,58
3,2020-07-01,72
3,2020-07-02,69
3,2020-07-03,63
3,2020-07-04,56
3,2020-07-05,49
3,2020-07-06,89
3,2020-07-07,112
3,2020-07-08,91
3,2020-07-09,126
3,2020-07-10,117
3,2020-07-11,38
3,2020-07-12,49
3,2020-07-13,128
3,2020-07-14,119
3,2020-07-15,132
3,2020-07-16,117
3,2020-07-17,90
3,2020-07-18,62
3,2020-07-19,39
3,2020-07-20,156
3,2020-07-21,109
3,2020-07-22,115
3,2020-07-23,142
3,2020-07-24,107
3,2020-07-25,66
3,2020-07-26,39
3,2020-07-27,173
3,2020-07-28,155
3,2020-07-29,117
3,2020-07-30,155
3,2020-07-31,100
3,2020-08-01,67
3,2020-08-02,41
3,2020-08-03,162
3,2020-08-04,146
3,2020-08-05,151
3,2020-08-06,123
3,2020-08-07,111
3,2020-08-08,82
3,2020-08-09,43
3,2020-08-10,140
3,2020-08-11,122
3,2020-08-12,126
3,2020-08-13,142
3,2020-08-14,131
3,2020-08-15,55
3,2020-08-16,47
3,2020-08-17,142
3,2020-08-18,138
3,2020-08-19,96
3,2020-08-20,36
3,2020-08-21,78
3,2020-08-22,75
3,2020-08-23,49
3,2020-08-24,142
3,2020-08-25,99
3,2020-08-26,106
3,2020-08-27,121
3,2020-08-28,68
3,2020-08-29,52
3,2020-08-30,62
3,2020-08-31,129
3,2020-09-01,117
3,2020-09-02,133
3,2020-09-03,114
3,2020-09-04,103
3,2020-09-05,58
3,2020-09-06,39
3,2020-09-07,136
3,2020-09-08,126
3,2020-09-09,104
3,2020-09-10,84
3,2020-09-11,93
3,2020-09-12,65
3,2020-09-13,28
3,2020-09-14,99
3,2020-09-15,91
3,2020-09-16,55
3,2020-09-17,89
3,2020-09-18,114
3,2020-09-19,64
3,2020-09-20,19
3,2020-09-21,107
3,2020-09-22,84
3,2020-09-23,84
3,2020-09-24,82
3,2020-09-25,92
3,2020-09-26,57
3,2020-09-27,19
3,2020-09-28,94
3,2020-09-29,98
3,2020-09-30,79
3,2020-10-01,84
3,2020-10-02,71
3,2020-10-03,42
3,2020-10-04,28
3,2020-10-05,100
3,2020-10-06,82
3,2020-10-07,69
3,2020-10-08,89
3,2020-10-09,94
3,2020-10-10,48
3,2020-10-11,22
3,2020-10-12,112
3,2020-10-13,93
3,2020-10-14,76
3,2020-10-15,95
3,2020-10-16,119
3,2020-10-17,57
3,2020-10-18,23
3,2020-10-19,113
3,2020-10-20,92
3,2020-10-21,103
3,2020-10-22,81
3,2020-10-23,97
3,2020-10-24,58
3,2020-10-25,19
3,2020-10-26,114
3,2020-10-27,95
3,2020-10-28,87
3,2020-10-29,85
3,2020-10-30,66
3,2020-10-31,33
3,2020-11-01,25
3,2020-11-02,86
3,2020-11-03,71
3,2020-11-04,80
3,2020-11-05,74
3,2020-11-06,58
3,2020-11-07,29
3,2020-11-08,24
3,2020-11-09,114
3,2020-11-10,85
3,2020-11-11,76
3,2020-11-12,93
3,2020-11-13,62
3,2020-11-14,31
3,2020-11-15,20
3,2020-11-16,31
3,2020-11-17,88
3,2020-11-18,91
3,2020-11-19,92
3,2020-11-20,72
3,2020-11-21,39
3,2020-11-22,30
3,2020-11-23,101
3,2020-11-24,103
3,2020-11-25,86
3,2020-11-26,97
3,2020-11-27,75
3,2020-11-28,46
3,2020-11-29,31
3,2020-11-30,115
3,2020-12-01,125
3,2020-12-02,108
3,2020-12-03,91
3,2020-12-04,100
3,2020-12-05,46
3,2020-12-06,22
3,2020-12-07,110
3,2020-12-08,119
3,2020-12-09,100
3,2020-12-10,139
3,2020-12-11,118
3,2020-12-12,75
3,2020-12-13,27
3,2020-12-14,150
3,2020-12-15,155
3,2020-12-16,129
3,2020-12-17,138
3,2020-12-18,119
3,2020-12-19,67
3,2020-12-20,25
3,2020-12-21,134
3,2020-12-22,141
3,2020-12-23,126
3,2020-12-24,107
3,2020-12-25,17
3,2020-12-26,92
3,2020-12-27,43
3,2020-12-28,185
3,2020-12-29,211
3,2020-12-30,215
3,2020-12-31,148
3,2021-01-01,35
3,2021-01-02,118
3,2021-01-03,48
3,2021-01-04,210
3,2021-01-05,279
3,2021-01-06,267
3,2021-01-07,273
3,2021-01-08,259
3,2021-01-09,108
3,2021-01-10,62
3,2021-01-11,254
3,2021-01-12,251
3,2021-01-13,218
3,2021-01-14,228
3,2021-01-15,183
3,2021-01-16,112
3,2021-01-17,67
3,2021-01-18,235
3,2021-01-19,271
3,2021-01-20,230
3,2021-01-21,221
3,2021-01-22,262
3,2021-01-23,117
3,2021-01-24,54
3,2021-01-25,283
3,2021-01-26,248
3,2021-01-27,211
3,2021-01-28,188
3,2021-01-29,166
3,2021-01-30,65
3,2021-01-31,42
3,2021-02-01,61
3,2021-02-02,238
3,2021-02-03,218
3,2021-02-04,189
3,2021-02-05,162
3,2021-02-06,70
3,2021-02-07,45
3,2021-02-08,191
3,2021-02-09,153
3,2021-02-10,97
3,2021-02-11,127
3,2021-02-12,82
3,2021-02-13,51
3,2021-02-14,32
3,2021-02-15,105
3,2021-02-16,85
3,2021-02-17,97
3,2021-02-18,118
3,2021-02-19,77
3,2021-02-20,37
3,2021-02-21,12
3,2021-02-22,128
3,2021-02-23,103
3,2021-02-24,79
3,2021-02-25,86
3,2021-02-26,68
3,2021-02-27,26
3,2021-02-28,22
3,2021-03-01,51
4,2020-03-08,1
4,2020-03-12,1
4,2020-03-14,1
4,2020-03-23,1
4,2020-03-27,3
4,2020-03-29,1
4,2020-04-02,2
4,2020-04-03,1
4,2020-04-05,3
4,2020-04-06,3
4,2020-04-09,2
4,2020-04-10,1
4,2020-04-11,5
4,2020-04-12,2
4,2020-04-13,2
4,2020-04-14,4
4,2020-04-15,3
4,2020-04-16,4
4,2020-04-17,3
4,2020-04-18,6
4,2020-04-19,2
4,2020-04-20,5
4,2020-04-21,7
4,2020-04-22,6
4,2020-04-23,7
4,2020-04-24,4
4,2020-04-25,6
4,2020-04-26,8
4,2020-04-27,4
4,2020-04-28,6
4,2020-04-29,8
4,2020-04-30,8
4,2020-05-01,6
4,2020-05-02,11
4,2020-05-03,11
4,2020-05-04,18
4,2020-05-05,9
4,2020-05-06,16
4,2020-05-07,11
4,2020-05-08,14
4,2020-05-09,14
4,2020-05-10,7
4,2020-05-11,24
4,2020-05-12,20
4,2020-05-13,16
4,2020-05-14,12
4,2020-05-15,15
4,2020-05-16,15
4,2020-05-17,15
4,2020-05-18,17
4,2020-05-19,22
4,2020-05-20,25
4,2020-05-21,16
4,2020-05-22,25
4,2020-05-23,17
4,2020-05-24,14
4,2020-05-25,33
4,2020-05-26,36
4,2020-05-27,31
4,2020-05-28,29
4,2020-05-29,20
4,2020-05-30,19
4,2020-05-31,7
4,2020-06-01,38
4,2020-06-02,23
4,2020-06-03,19
4,2020-06-04,39
4,2020-06-05,41
4,2020-06-06,24
4,2020-06-07,23
4,2020-06-08,43
4,2020-06-09,59
4,2020-06-10,69
4,2020-06-11,74
4,2020-06-12,34
4,2020-06-13,27
4,2020-06-14,21
4,2020-06-15,98
4,2020-06-16,84
4,2020-06-17,108
4,2020-06-18,88
4,2020-06-19,99
4,2020-06-20,54
4,2020-06-21,38
4,2020-06-22,104
4,2020-06-23,92
4,2020-06-24,87
4,2020-06-25,90
4,2020-06-26,99
4,2020-06-27,52
4,2020-06-28,49
4,2020-06-29,72
4,2020-06-30,89
4,2020-07-01,70
4,2020-07-02,94
4,2020-07-03,59
4,2020-07-04,32
4,2020-07-05,37
4,2020-07-06,80
4,2020-07-07,91
4,2020-07-08,91
4,2020-07-09,98
4,2020-07-10,108
4,2020-07-11,52
4,2020-07-12,63
4,2020-07-13,122
4,2020-07-14,77
4,2020-07-15,118
4,2020-07-16,114
4,2020-07-17,100
4,2020-07-18,46
4,2020-07-19,51
4,2020-07-20,117
4,2020-07-21,107
4,2020-07-22,89
4,2020-07-23,85
4,2020-07-24,86
4,2020-07-25,34
4,2020-07-26,24
4,2020-07-27,70
4,2020-07-28,85
4,2020-07-29,68
4,2020-07-30,65
4,2020-07-31,61
4,2020-08-01,38
4,2020-08-02,32
4,2020-08-03,53
4,2020-08-04,66
4,2020-08-05,51
4,2020-08-06,47
4,2020-08-07,26
4,2020-08-08,17
4,2020-08-09,16
4,2020-08-10,41
4,2020-08-11,28
4,2020-08-12,37
4,2020-08-13,36
4,2020-08-14,13
4,2020-08-15,13
4,2020-08-16,14
4,2020-08-17,31
4,2020-08-18,43
4,2020-08-19,32
4,2020-08-20,25
4,2020-08-21,62
4,2020-08-22,14
4,2020-08-23,11
4,2020-08-24,33
4,2020-08-25,30
4,2020-08-26,20
4,2020-08-27,24
4,2020-08-28,45
4,2020-08-29,8
4,2020-08-30,6
4,2020-08-31,32
4,2020-09-01,17
4,2020-09-02,28
4,2020-09-03,24
4,2020-09-04,16
4,2020-09-05,3
4,2020-09-06,7
4,2020-09-07,18
4,2020-09-08,12
4,2020-09-09,11
4,2020-09-10,10
4,2020-09-11,32
4,2020-09-12,11
4,2020-09-13,7
4,2020-09-14,14
4,2020-09-15,3
4,2020-09-16,3
4,2020-09-17,9
4,2020-09-18,41
4,2020-09-19,3
4,2020-09-20,6
4,2020-09-21,22
4,2020-09-22,6
4,2020-09-23,14
4,2020-09-24,15
4,2020-09-25,16
4,2020-09-26,9
4,2020-09-27,5
4,2020-09-28,16
4,2020-09-29,14
4,2020-09-30,13
4,2020-10-01,14
4,2020-10-02,20
4,2020-10-04,5
4,2020-10-05,18
4,2020-10-06,7
4,2020-10-07,13
4,2020-10-08,7
4,2020-10-09,19
4,2020-10-10,2
4,2020-10-11,1
4,2020-10-12,13
4,2020-10-13,12
4,2020-10-14,13
4,2020-10-15,13
4,2020-10-16,22
4,2020-10-17,6
4,2020-10-18,2
4,2020-10-19,18
4,2020-10-20,10
4,2020-10-21,5
4,2020-10-22,16
4,2020-10-23,10
4,2020-10-24,2
4,2020-10-25,4
4,2020-10-26,31
4,2020-10-27,14
4,2020-10-28,18
4,2020-10-29,6
4,2020-10-30,18
4,2020-10-31,2
4,2020-11-02,9
4,2020-11-03,5
4,2020-11-04,20
4,2020-11-05,7
